x1,y1,z1,x2,y2
1.578143783,1.155914266,0.1332051553,[Horizons] SMALL BODY #C(500@10)_T(707 Steina (A910 YA)) (1/1),SMALL
2.783367207,1.191503305,0.1055997469,[Horizons] SMALL BODY #C(500@10)_T(795 Fini (A914 SF)) (1/1),SMALL
-0.3297300304,-2.664023375,-0.05343930056,[Horizons] SMALL BODY #C(500@10)_T(751 Faina (A913 HE)) (1/1),SMALL
1.751299751,2.039956475,0.0330999434,[Horizons] SMALL BODY #C(500@10)_T(797 Montana (A914 WG)) (1/1),SMALL
-0.5014829187,-2.241342262,0.1831723239,[Horizons] SMALL BODY #C(500@10)_T(789 Lena (A914 MA)) (1/1),SMALL
2.35810023,-0.8245847842,-0.3772553413,[Horizons] SMALL BODY #C(500@10)_T(791 Ani (A914 MB)) (1/1),SMALL
-3.050989258,0.2245492022,0.03542037125,[Horizons] SMALL BODY #C(500@10)_T(671 Carnegia (A908 SJ)) (1/1),SMALL
-2.780487804,1.356849384,-0.8537194724,[Horizons] SMALL BODY #C(500@10)_T(726 Joella (A911 WC)) (1/1),SMALL
0.7216634662,2.897555275,-0.5446268398,[Horizons] SMALL BODY #C(500@10)_T(633 Zelima (A907 JH)) (1/1),SMALL
-2.178292342,-0.3654776684,0.1323467815,[Horizons] SMALL BODY #C(500@10)_T(750 Oskar (A913 HF)) (1/1),SMALL
-2.661699719,1.700405963,-0.8826670805,[Horizons] SMALL BODY #C(500@10)_T(686 Gersuind (A909 QA)) (1/1),SMALL
0.8656994602,-2.358600112,-0.6765613303,[Horizons] SMALL BODY #C(500@10)_T(697 Galilea (A910 CL)) (1/1),SMALL
-2.940025571,0.9125333765,1.006833774,[Horizons] SMALL BODY #C(500@10)_T(776 Berbericia (A914 BE)) (1/1),SMALL
-1.121399372,3.29067178,-1.327389087,[Horizons] SMALL BODY #C(500@10)_T(612 Veronika (A906 TC)) (1/1),SMALL
-5.046756298,-2.72499024,0.639659001,[Horizons] SMALL BODY #C(500@10)_T(617 Patroclus (A906 UL)) (1/1),SMALL
-1.832216359,-1.873788449,-0.6541730924,[Horizons] SMALL BODY #C(500@10)_T(623 Chimaera (A907 BC)) (1/1),SMALL
-3.135602487,-2.231080377,-0.8863305248,[Horizons] SMALL BODY #C(500@10)_T(696 Leonora (A910 AC)) (1/1),SMALL
2.842737934,-0.4276777257,-0.6864781788,[Horizons] SMALL BODY #C(500@10)_T(729 Watsonia (A912 CE)) (1/1),SMALL
3.821545476,-9.277577543,0.009182562095,[Horizons] MAJOR BODY #C(500@10)_T(699) (1/1),BIG
-2.959327544,-1.31265091,0.9611734735,[Horizons] SMALL BODY #C(500@10)_T(780 Armenia (A914 BJ)) (1/1),SMALL
0.3033795768,1.870855158,0.08560130498,[Horizons] SMALL BODY #C(500@10)_T(770 Bali (A913 UG)) (1/1),SMALL
-0.8490008268,-2.910097652,-0.3434170299,[Horizons] SMALL BODY #C(500@10)_T(777 Gutemberga (A914 BF)) (1/1),SMALL
-2.013236851,2.452558496,-0.8876601326,[Horizons] SMALL BODY #C(500@10)_T(694 Ekard (A909 VC)) (1/1),SMALL
0.7085117009,0.1521248209,-0.03879879374,[Horizons] MAJOR BODY #C(500@10)_T(299) (1/1),BIG
-1.814081956,2.527393322,-0.6127425195,[Horizons] SMALL BODY #C(500@10)_T(643 Scheherezade (A907 RK)) (1/1),SMALL
-1.535925669,2.057466761,-0.1706329666,[Horizons] SMALL BODY #C(500@10)_T(689 Zita (A909 RA)) (1/1),SMALL
2.568586266,-1.464924005,0.6999605507,[Horizons] SMALL BODY #C(500@10)_T(640 Brambilla (A907 QA)) (1/1),SMALL
-1.44095097,1.756501477,-0.07496450394,[Horizons] SMALL BODY #C(500@10)_T(622 Esther (A906 VN)) (1/1),SMALL
1.106385453,-1.481777855,-0.1803177738,[Horizons] SMALL BODY #C(500@10)_T(722 Frieda (A911 UN)) (1/1),SMALL
0.4727168235,2.637274358,-0.1411835464,[Horizons] SMALL BODY #C(500@10)_T(741 Botolphia (A913 CJ)) (1/1),SMALL
2.013295112,0.8774411998,0.7218683876,[Horizons] SMALL BODY #C(500@10)_T(759 Vinifera (A913 QC)) (1/1),SMALL
1.32344214,2.073808574,0.228436243,[Horizons] SMALL BODY #C(500@10)_T(768 Struveana (A913 TC)) (1/1),SMALL
-0.4060080442,3.056629425,-0.4480283082,[Horizons] SMALL BODY #C(500@10)_T(798 Ruth (A914 WH)) (1/1),SMALL
-1.971979764,-2.075350376,-1.22861575,[Horizons] SMALL BODY #C(500@10)_T(626 Notburga (A907 CH)) (1/1),SMALL
-3.283864817,0.578651322,-0.9747976502,[Horizons] SMALL BODY #C(500@10)_T(704 Interamnia (A910 TC)) (1/1),SMALL
-0.1126567545,2.000675805,0.1551826619,[Horizons] SMALL BODY #C(500@10)_T(765 Mattiaca (A913 SG)) (1/1),SMALL
-2.261296572,-0.6951368638,0.1850310123,[Horizons] SMALL BODY #C(500@10)_T(732 Tjilaki (A912 HK)) (1/1),SMALL
16.21408837,11.39421985,-0.1676839345,[Horizons] MAJOR BODY #C(500@10)_T(799) (1/1),BIG
3.412110655,-1.714702968,0.02626266809,[Horizons] SMALL BODY #C(500@10)_T(760 Massinga (A913 QD)) (1/1),SMALL
2.729118684,-0.7626021967,-0.5997461568,[Horizons] SMALL BODY #C(500@10)_T(630 Euphemia (A907 EM)) (1/1),SMALL
2.085165385,1.29178407,-0.1728787504,[Horizons] SMALL BODY #C(500@10)_T(662 Newtonia (A908 FF)) (1/1),SMALL
-0.1916783851,2.995910202,-0.2562808931,[Horizons] SMALL BODY #C(500@10)_T(627 Charis (A907 EJ)) (1/1),SMALL
-1.553720405,3.03085977,0.08795523339,[Horizons] SMALL BODY #C(500@10)_T(767 Bondia (A913 SD)) (1/1),SMALL
2.989233799,-0.4047399109,-0.2527143668,[Horizons] SMALL BODY #C(500@10)_T(784 Pickeringia (A914 FC)) (1/1),SMALL
-0.4869225179,2.833586519,-0.0258051018,[Horizons] SMALL BODY #C(500@10)_T(656 Beagle (A908 BJ)) (1/1),SMALL
2.808507781,1.043241834,1.126177111,[Horizons] SMALL BODY #C(500@10)_T(702 Alauda (A910 OA)) (1/1),SMALL
-2.30560999,-0.4054542888,-0.02114392014,[Horizons] SMALL BODY #C(500@10)_T(632 Pyrrha (A907 GY)) (1/1),SMALL
1.63852059,2.808611816,1.178754267,[Horizons] SMALL BODY #C(500@10)_T(733 Mocia (A912 SA)) (1/1),SMALL
-1.277296806,-0.9370371861,0.01170414602,[Horizons] MAJOR BODY #C(500@10)_T(499) (1/1),BIG
1.295982286,2.50639041,0.184822318,[Horizons] SMALL BODY #C(500@10)_T(636 Erika (A907 CE)) (1/1),SMALL
-0.2305129029,2.741695656,0.7001349595,[Horizons] SMALL BODY #C(500@10)_T(692 Hippodamia (A901 VJ)) (1/1),SMALL
0.2848096097,-3.012948951,-0.3998031174,[Horizons] SMALL BODY #C(500@10)_T(613 Ginevra (A906 TD)) (1/1),SMALL
-0.1842931831,-3.444688964,0.08461580837,[Horizons] SMALL BODY #C(500@10)_T(764 Gedania (A913 SF)) (1/1),SMALL
2.73764035,-1.112533582,-0.580846131,[Horizons] SMALL BODY #C(500@10)_T(705 Erminia (A910 TE)) (1/1),SMALL
-3.117170835,-0.4974816393,-0.1487079392,[Horizons] SMALL BODY #C(500@10)_T(649 Josefa (A907 RO)) (1/1),SMALL
-2.509487906,-1.169901955,0.6839946802,[Horizons] SMALL BODY #C(500@10)_T(652 Jubilatrix (A907 VS)) (1/1),SMALL
-2.556363923,-1.191342267,-0.05246877823,[Horizons] SMALL BODY #C(500@10)_T(673 Edda (A908 SG)) (1/1),SMALL
0.3427798686,2.76754574,0.540998974,[Horizons] SMALL BODY #C(500@10)_T(672 Astarte (A908 SH)) (1/1),SMALL
-1.128149095,2.445343556,-0.207737528,[Horizons] SMALL BODY #C(500@10)_T(743 Eugenisis (A913 DD)) (1/1),SMALL
-2.650645924,2.466304094,-0.3042669153,[Horizons] SMALL BODY #C(500@10)_T(664 Judith (A908 MC)) (1/1),SMALL
1.027848837,3.301862799,0.2359824444,[Horizons] SMALL BODY #C(500@10)_T(718 Erida (A911 SA)) (1/1),SMALL
0.04875694157,-0.4558317565,-0.0417206831,[Horizons] MAJOR BODY #C(500@10)_T(199) (1/1),BIG
-2.536367124,-1.186078378,0.5851109181,[Horizons] SMALL BODY #C(500@10)_T(625 Xenia (A907 CG)) (1/1),SMALL
2.221318182,2.084601129,-0.3314697495,[Horizons] SMALL BODY #C(500@10)_T(785 Zwetana (A914 FD)) (1/1),SMALL
-1.36905764,2.122328987,-0.1563253346,[Horizons] SMALL BODY #C(500@10)_T(799 Gudula (A915 EA)) (1/1),SMALL
-0.5147255662,2.918111219,0.6044543769,[Horizons] SMALL BODY #C(500@10)_T(709 Fringilla (A911 CC)) (1/1),SMALL
-2.50492612,-0.5763304223,-0.5300483102,[Horizons] SMALL BODY #C(500@10)_T(663 Gerlinde (A908 MB)) (1/1),SMALL
2.572086717,0.1118080304,0.007774740296,[Horizons] SMALL BODY #C(500@10)_T(746 Marlu (A913 EJ)) (1/1),SMALL
-0.2499348015,0.9523577622,-0.0002330793366,[Horizons] MAJOR BODY #C(500@10)_T(301) (1/1),BIG
3.526649975,0.1350268306,0.5714067167,[Horizons] SMALL BODY #C(500@10)_T(756 Lilliana (A908 HD)) (1/1),SMALL
2.010366965,-1.527296603,-0.4749657349,[Horizons] SMALL BODY #C(500@10)_T(610 Valeska (A906 SN)) (1/1),SMALL
2.653288588,-1.167635398,-0.6334266815,[Horizons] SMALL BODY #C(500@10)_T(618 Elfriede (A906 UM)) (1/1),SMALL
-1.20855031,2.45756625,0.4623990725,[Horizons] SMALL BODY #C(500@10)_T(766 Moguntia (A913 SH)) (1/1),SMALL
2.987747609,0.5183099903,-0.3167058957,[Horizons] SMALL BODY #C(500@10)_T(698 Ernestina (A910 ED)) (1/1),SMALL
-1.620665693,-1.164842816,0.2080576793,[Horizons] SMALL BODY #C(500@10)_T(700 Auravictrix (A910 LD)) (1/1),SMALL
